quarter,year,quarter_number,quarter_start,local_authority,completions
2011Q3,2011,3,2011-07-01,Limerick City & County Council,55
2011Q3,2011,3,2011-07-01,Leitrim County Council,14
2011Q3,2011,3,2011-07-01,Laois County Council,25
2011Q3,2011,3,2011-07-01,Meath County Council,76
2011Q3,2011,3,2011-07-01,Monaghan County Council,33
2011Q3,2011,3,2011-07-01,Mayo County Council,124
2011Q3,2011,3,2011-07-01,Offaly County Council,24
2011Q3,2011,3,2011-07-01,Roscommon County Council,38
2011Q3,2011,3,2011-07-01,South Dublin County Council,29
2011Q3,2011,3,2011-07-01,Sligo County Council,35
2011Q3,2011,3,2011-07-01,Tipperary County Council,73
2011Q3,2011,3,2011-07-01,Waterford City & County Council,30
2011Q3,2011,3,2011-07-01,Westmeath County Council,24
2011Q3,2011,3,2011-07-01,Wicklow County Council,60
2011Q3,2011,3,2011-07-01,Wexford County Council,89
2011Q4,2011,4,2011-10-01,Cork City Council,25
2011Q4,2011,4,2011-10-01,Clare County Council,57
2011Q4,2011,4,2011-10-01,Cavan County Council,37
2011Q4,2011,4,2011-10-01,Cork County Council,194
2011Q4,2011,4,2011-10-01,Carlow County Council,38
2011Q4,2011,4,2011-10-01,Dublin City Council,83
2011Q4,2011,4,2011-10-01,Dún Laoghaire Rathdown County Council,17
2011Q4,2011,4,2011-10-01,Donegal County Council,88
2011Q4,2011,4,2011-10-01,Fingal County Council,33
2011Q4,2011,4,2011-10-01,Galway County Council,114
2011Q4,2011,4,2011-10-01,Galway City Council,11
2011Q4,2011,4,2011-10-01,Kildare County Council,76
2011Q4,2011,4,2011-10-01,Kilkenny County Council,54
2011Q4,2011,4,2011-10-01,Kerry County Council,79
2011Q4,2011,4,2011-10-01,Longford County Council,13
2011Q4,2011,4,2011-10-01,Louth County Council,37
2011Q4,2011,4,2011-10-01,Limerick City & County Council,95
2011Q4,2011,4,2011-10-01,Leitrim County Council,16
2011Q4,2011,4,2011-10-01,Laois County Council,33
2011Q4,2011,4,2011-10-01,Meath County Council,68
2011Q4,2011,4,2011-10-01,Monaghan County Council,32
2011Q4,2011,4,2011-10-01,Mayo County Council,88
2011Q4,2011,4,2011-10-01,Offaly County Council,29
2011Q4,2011,4,2011-10-01,Roscommon County Council,31
2011Q4,2011,4,2011-10-01,South Dublin County Council,36
2011Q4,2011,4,2011-10-01,Sligo County Council,24
2011Q4,2011,4,2011-10-01,Tipperary County Council,68
2011Q4,2011,4,2011-10-01,Waterford City & County Council,35
2011Q4,2011,4,2011-10-01,Westmeath County Council,28
2011Q4,2011,4,2011-10-01,Wicklow County Council,47
2011Q4,2011,4,2011-10-01,Wexford County Council,55
2012Q1,2012,1,2012-01-01,Cork City Council,20
2012Q1,2012,1,2012-01-01,Clare County Council,44
2012Q1,2012,1,2012-01-01,Cavan County Council,20
2012Q1,2012,1,2012-01-01,Cork County Council,122
2012Q1,2012,1,2012-01-01,Carlow County Council,17
2012Q1,2012,1,2012-01-01,Dublin City Council,57
2012Q1,2012,1,2012-01-01,Dún Laoghaire Rathdown County Council,13
2012Q1,2012,1,2012-01-01,Donegal County Council,114
2012Q1,2012,1,2012-01-01,Fingal County Council,29
2012Q1,2012,1,2012-01-01,Galway County Council,77
2012Q1,2012,1,2012-01-01,Galway City Council,6
2012Q1,2012,1,2012-01-01,Kildare County Council,51
2012Q1,2012,1,2012-01-01,Kilkenny County Council,26
2012Q1,2012,1,2012-01-01,Kerry County Council,46
2012Q1,2012,1,2012-01-01,Longford County Council,17
2012Q1,2012,1,2012-01-01,Louth County Council,23
2012Q1,2012,1,2012-01-01,Limerick City & County Council,27
2012Q1,2012,1,2012-01-01,Leitrim County Council,15
2012Q1,2012,1,2012-01-01,Laois County Council,24
2012Q1,2012,1,2012-01-01,Meath County Council,41
2012Q1,2012,1,2012-01-01,Monaghan County Council,42
2012Q1,2012,1,2012-01-01,Mayo County Council,41
2012Q1,2012,1,2012-01-01,Offaly County Council,15
2012Q1,2012,1,2012-01-01,Roscommon County Council,19
2012Q1,2012,1,2012-01-01,South Dublin County Council,11
2012Q1,2012,1,2012-01-01,Sligo County Council,62
2012Q1,2012,1,2012-01-01,Tipperary County Council,40
2012Q1,2012,1,2012-01-01,Waterford City & County Council,18
2012Q1,2012,1,2012-01-01,Westmeath County Council,24
2012Q1,2012,1,2012-01-01,Wicklow County Council,23
2012Q1,2012,1,2012-01-01,Wexford County Council,47
2012Q2,2012,2,2012-04-01,Cork City Council,27
2012Q2,2012,2,2012-04-01,Clare County Council,38
2012Q2,2012,2,2012-04-01,Cavan County Council,23
2012Q2,2012,2,2012-04-01,Cork County Council,115
2012Q2,2012,2,2012-04-01,Carlow County Council,10
2012Q2,2012,2,2012-04-01,Dublin City Council,37
2012Q2,2012,2,2012-04-01,Dún Laoghaire Rathdown County Council,11
2012Q2,2012,2,2012-04-01,Donegal County Council,74
2012Q2,2012,2,2012-04-01,Fingal County Council,29
2012Q2,2012,2,2012-04-01,Galway County Council,71
2012Q2,2012,2,2012-04-01,Galway City Council,7
2012Q2,2012,2,2012-04-01,Kildare County Council,44
2012Q2,2012,2,2012-04-01,Kilkenny County Council,18
2012Q2,2012,2,2012-04-01,Kerry County Council,48
2012Q2,2012,2,2012-04-01,Longford County Council,24
2012Q2,2012,2,2012-04-01,Louth County Council,28
2012Q2,2012,2,2012-04-01,Limerick City & County Council,55
2012Q2,2012,2,2012-04-01,Leitrim County Council,7
2012Q2,2012,2,2012-04-01,Laois County Council,43
2012Q2,2012,2,2012-04-01,Meath County Council,47
2012Q2,2012,2,2012-04-01,Monaghan County Council,18
2012Q2,2012,2,2012-04-01,Mayo County Council,56
2012Q2,2012,2,2012-04-01,Offaly County Council,18
2012Q2,2012,2,2012-04-01,Roscommon County Council,25
2012Q2,2012,2,2012-04-01,South Dublin County Council,23
2012Q2,2012,2,2012-04-01,Sligo County Council,67
2012Q2,2012,2,2012-04-01,Tipperary County Council,30
2012Q2,2012,2,2012-04-01,Waterford City & County Council,19
2012Q2,2012,2,2012-04-01,Westmeath County Council,18
2012Q2,2012,2,2012-04-01,Wicklow County Council,38
2012Q2,2012,2,2012-04-01,Wexford County Council,49
2012Q3,2012,3,2012-07-01,Cork City Council,26
2012Q3,2012,3,2012-07-01,Clare County Council,39
2012Q3,2012,3,2012-07-01,Cavan County Council,23
2012Q3,2012,3,2012-07-01,Cork County Council,129
2012Q3,2012,3,2012-07-01,Carlow County Council,11
2012Q3,2012,3,2012-07-01,Dublin City Council,68
2012Q3,2012,3,2012-07-01,Dún Laoghaire Rathdown County Council,33
2012Q3,2012,3,2012-07-01,Donegal County Council,92
2012Q3,2012,3,2012-07-01,Fingal County Council,24
2012Q3,2012,3,2012-07-01,Galway County Council,72
2012Q3,2012,3,2012-07-01,Galway City Council,4
2012Q3,2012,3,2012-07-01,Kildare County Council,42
2012Q3,2012,3,2012-07-01,Kilkenny County Council,21
2012Q3,2012,3,2012-07-01,Kerry County Council,40
2012Q3,2012,3,2012-07-01,Longford County Council,29
2012Q3,2012,3,2012-07-01,Louth County Council,59
2012Q3,2012,3,2012-07-01,Limerick City & County Council,47
2012Q3,2012,3,2012-07-01,Leitrim County Council,13
2012Q3,2012,3,2012-07-01,Laois County Council,31
2012Q3,2012,3,2012-07-01,Meath County Council,42
2012Q3,2012,3,2012-07-01,Monaghan County Council,27
2012Q3,2012,3,2012-07-01,Mayo County Council,54
2012Q3,2012,3,2012-07-01,Offaly County Council,23
2012Q3,2012,3,2012-07-01,Roscommon County Council,16
2012Q3,2012,3,2012-07-01,South Dublin County Council,20
2012Q3,2012,3,2012-07-01,Sligo County Council,22
2012Q3,2012,3,2012-07-01,Tipperary County Council,57
2012Q3,2012,3,2012-07-01,Waterford City & County Council,23
2012Q3,2012,3,2012-07-01,Westmeath County Council,21
2012Q3,2012,3,2012-07-01,Wicklow County Council,58
2012Q3,2012,3,2012-07-01,Wexford County Council,39
2012Q4,2012,4,2012-10-01,Cork City Council,22
2012Q4,2012,4,2012-10-01,Clare County Council,39
2012Q4,2012,4,2012-10-01,Cavan County Council,33
2012Q4,2012,4,2012-10-01,Cork County Council,148
2012Q4,2012,4,2012-10-01,Carlow County Council,17
2012Q4,2012,4,2012-10-01,Dublin City Council,71
2012Q4,2012,4,2012-10-01,Dún Laoghaire Rathdown County Council,34
2012Q4,2012,4,2012-10-01,Donegal County Council,78
2012Q4,2012,4,2012-10-01,Fingal County Council,49
2012Q4,2012,4,2012-10-01,Galway County Council,91
2012Q4,2012,4,2012-10-01,Galway City Council,5
2012Q4,2012,4,2012-10-01,Kildare County Council,70
2012Q4,2012,4,2012-10-01,Kilkenny County Council,44
2012Q4,2012,4,2012-10-01,Kerry County Council,84
2012Q4,2012,4,2012-10-01,Longford County Council,7
2012Q4,2012,4,2012-10-01,Louth County Council,81
2012Q4,2012,4,2012-10-01,Limerick City & County Council,108
2012Q4,2012,4,2012-10-01,Leitrim County Council,9
2012Q4,2012,4,2012-10-01,Laois County Council,26
2012Q4,2012,4,2012-10-01,Meath County Council,63
2012Q4,2012,4,2012-10-01,Monaghan County Council,15
2012Q4,2012,4,2012-10-01,Mayo County Council,45
2012Q4,2012,4,2012-10-01,Offaly County Council,26
2012Q4,2012,4,2012-10-01,Roscommon County Council,16
2012Q4,2012,4,2012-10-01,South Dublin County Council,75
2012Q4,2012,4,2012-10-01,Sligo County Council,18
2012Q4,2012,4,2012-10-01,Tipperary County Council,41
2012Q4,2012,4,2012-10-01,Waterford City & County Council,38
2012Q4,2012,4,2012-10-01,Westmeath County Council,20
2012Q4,2012,4,2012-10-01,Wicklow County Council,30
2012Q4,2012,4,2012-10-01,Wexford County Council,55
2013Q1,2013,1,2013-01-01,Cork City Council,16
2013Q1,2013,1,2013-01-01,Clare County Council,27
2013Q1,2013,1,2013-01-01,Cavan County Council,15
2013Q1,2013,1,2013-01-01,Cork County Council,88
2013Q1,2013,1,2013-01-01,Carlow County Council,7
2013Q1,2013,1,2013-01-01,Dublin City Council,36
2013Q1,2013,1,2013-01-01,Dún Laoghaire Rathdown County Council,22
2013Q1,2013,1,2013-01-01,Donegal County Council,54
2013Q1,2013,1,2013-01-01,Fingal County Council,27
2013Q1,2013,1,2013-01-01,Galway County Council,75
2013Q1,2013,1,2013-01-01,Galway City Council,3
2013Q1,2013,1,2013-01-01,Kildare County Council,34
2013Q1,2013,1,2013-01-01,Kilkenny County Council,19
2013Q1,2013,1,2013-01-01,Kerry County Council,39
2013Q1,2013,1,2013-01-01,Longford County Council,8
2013Q1,2013,1,2013-01-01,Louth County Council,48
2013Q1,2013,1,2013-01-01,Limerick City & County Council,46
2013Q1,2013,1,2013-01-01,Leitrim County Council,10
2013Q1,2013,1,2013-01-01,Laois County Council,13
2013Q1,2013,1,2013-01-01,Meath County Council,36
2013Q1,2013,1,2013-01-01,Monaghan County Council,16
2013Q1,2013,1,2013-01-01,Mayo County Council,38
2013Q1,2013,1,2013-01-01,Offaly County Council,12
2013Q1,2013,1,2013-01-01,Roscommon County Council,22
2013Q1,2013,1,2013-01-01,South Dublin County Council,28
2013Q1,2013,1,2013-01-01,Sligo County Council,30
2013Q1,2013,1,2013-01-01,Tipperary County Council,25
2013Q1,2013,1,2013-01-01,Waterford City & County Council,23
2013Q1,2013,1,2013-01-01,Westmeath County Council,13
2013Q1,2013,1,2013-01-01,Wicklow County Council,30
2013Q1,2013,1,2013-01-01,Wexford County Council,29
2013Q2,2013,2,2013-04-01,Cork City Council,69
2013Q2,2013,2,2013-04-01,Clare County Council,31
2013Q2,2013,2,2013-04-01,Cavan County Council,17
2013Q2,2013,2,2013-04-01,Cork County Council,101
2013Q2,2013,2,2013-04-01,Carlow County Council,10
2013Q2,2013,2,2013-04-01,Dublin City Council,111
2013Q2,2013,2,2013-04-01,Dún Laoghaire Rathdown County Council,24
2013Q2,2013,2,2013-04-01,Donegal County Council,60
2013Q2,2013,2,2013-04-01,Fingal County Council,25
2013Q2,2013,2,2013-04-01,Galway County Council,57
2013Q2,2013,2,2013-04-01,Galway City Council,31
2013Q2,2013,2,2013-04-01,Kildare County Council,52
2013Q2,2013,2,2013-04-01,Kilkenny County Council,34
2013Q2,2013,2,2013-04-01,Kerry County Council,42
2013Q2,2013,2,2013-04-01,Longford County Council,7
2013Q2,2013,2,2013-04-01,Louth County Council,79
2013Q2,2013,2,2013-04-01,Limerick City & County Council,36
2013Q2,2013,2,2013-04-01,Leitrim County Council,12
2013Q2,2013,2,2013-04-01,Laois County Council,24
2013Q2,2013,2,2013-04-01,Meath County Council,37
2013Q2,2013,2,2013-04-01,Monaghan County Council,15
2013Q2,2013,2,2013-04-01,Mayo County Council,45
2013Q2,2013,2,2013-04-01,Offaly County Council,14
2013Q2,2013,2,2013-04-01,Roscommon County Council,16
2013Q2,2013,2,2013-04-01,South Dublin County Council,25
2013Q2,2013,2,2013-04-01,Sligo County Council,15
2013Q2,2013,2,2013-04-01,Tipperary County Council,38
2013Q2,2013,2,2013-04-01,Waterford City & County Council,21
2013Q2,2013,2,2013-04-01,Westmeath County Council,18
2013Q2,2013,2,2013-04-01,Wicklow County Council,41
2013Q2,2013,2,2013-04-01,Wexford County Council,39
2013Q3,2013,3,2013-07-01,Cork City Council,14
2013Q3,2013,3,2013-07-01,Clare County Council,26
2013Q3,2013,3,2013-07-01,Cavan County Council,16
2013Q3,2013,3,2013-07-01,Cork County Council,103
2013Q3,2013,3,2013-07-01,Carlow County Council,16
2013Q3,2013,3,2013-07-01,Dublin City Council,57
2013Q3,2013,3,2013-07-01,Dún Laoghaire Rathdown County Council,30
2013Q3,2013,3,2013-07-01,Donegal County Council,62
2013Q3,2013,3,2013-07-01,Fingal County Council,61
2013Q3,2013,3,2013-07-01,Galway County Council,62
2013Q3,2013,3,2013-07-01,Galway City Council,9
2013Q3,2013,3,2013-07-01,Kildare County Council,51
2013Q3,2013,3,2013-07-01,Kilkenny County Council,31
2013Q3,2013,3,2013-07-01,Kerry County Council,54
2013Q3,2013,3,2013-07-01,Longford County Council,9
2013Q3,2013,3,2013-07-01,Louth County Council,37
2013Q3,2013,3,2013-07-01,Limerick City & County Council,24
2013Q3,2013,3,2013-07-01,Leitrim County Council,10
2013Q3,2013,3,2013-07-01,Laois County Council,18
2013Q3,2013,3,2013-07-01,Meath County Council,33
2013Q3,2013,3,2013-07-01,Monaghan County Council,18
2013Q3,2013,3,2013-07-01,Mayo County Council,41
2013Q3,2013,3,2013-07-01,Offaly County Council,10
2013Q3,2013,3,2013-07-01,Roscommon County Council,20
2013Q3,2013,3,2013-07-01,South Dublin County Council,33
2013Q3,2013,3,2013-07-01,Sligo County Council,23
2013Q3,2013,3,2013-07-01,Tipperary County Council,23
2013Q3,2013,3,2013-07-01,Waterford City & County Council,24
2013Q3,2013,3,2013-07-01,Westmeath County Council,17
2013Q3,2013,3,2013-07-01,Wicklow County Council,41
2013Q3,2013,3,2013-07-01,Wexford County Council,60
2013Q4,2013,4,2013-10-01,Cork City Council,59
2013Q4,2013,4,2013-10-01,Clare County Council,39
2013Q4,2013,4,2013-10-01,Cavan County Council,21
2013Q4,2013,4,2013-10-01,Cork County Council,119
2013Q4,2013,4,2013-10-01,Carlow County Council,9
2013Q4,2013,4,2013-10-01,Dublin City Council,90
2013Q4,2013,4,2013-10-01,Dún Laoghaire Rathdown County Council,132
2013Q4,2013,4,2013-10-01,Donegal County Council,74
2013Q4,2013,4,2013-10-01,Fingal County Council,72
2013Q4,2013,4,2013-10-01,Galway County Council,67
2013Q4,2013,4,2013-10-01,Galway City Council,7
2013Q4,2013,4,2013-10-01,Kildare County Council,57
2013Q4,2013,4,2013-10-01,Kilkenny County Council,28
2013Q4,2013,4,2013-10-01,Kerry County Council,59
2013Q4,2013,4,2013-10-01,Longford County Council,11
2013Q4,2013,4,2013-10-01,Louth County Council,41
2013Q4,2013,4,2013-10-01,Limerick City & County Council,108
2013Q4,2013,4,2013-10-01,Leitrim County Council,9
2013Q4,2013,4,2013-10-01,Laois County Council,30
2013Q4,2013,4,2013-10-01,Meath County Council,54
2013Q4,2013,4,2013-10-01,Monaghan County Council,36
2013Q4,2013,4,2013-10-01,Mayo County Council,90
2013Q4,2013,4,2013-10-01,Offaly County Council,19
2013Q4,2013,4,2013-10-01,Roscommon County Council,22
2013Q4,2013,4,2013-10-01,South Dublin County Council,56
2013Q4,2013,4,2013-10-01,Sligo County Council,22
2013Q4,2013,4,2013-10-01,Tipperary County Council,48
2013Q4,2013,4,2013-10-01,Waterford City & County Council,23
2013Q4,2013,4,2013-10-01,Westmeath County Council,18
2013Q4,2013,4,2013-10-01,Wicklow County Council,26
2013Q4,2013,4,2013-10-01,Wexford County Council,61
2014Q1,2014,1,2014-01-01,Cork City Council,9
2014Q1,2014,1,2014-01-01,Clare County Council,38
2014Q1,2014,1,2014-01-01,Cavan County Council,25
2014Q1,2014,1,2014-01-01,Cork County Council,91
2014Q1,2014,1,2014-01-01,Carlow County Council,22
2014Q1,2014,1,2014-01-01,Dublin City Council,56
2014Q1,2014,1,2014-01-01,Dún Laoghaire Rathdown County Council,143
2014Q1,2014,1,2014-01-01,Donegal County Council,55
2014Q1,2014,1,2014-01-01,Fingal County Council,53
2014Q1,2014,1,2014-01-01,Galway County Council,65
2014Q1,2014,1,2014-01-01,Galway City Council,6
2014Q1,2014,1,2014-01-01,Kildare County Council,58
2014Q1,2014,1,2014-01-01,Kilkenny County Council,20
2014Q1,2014,1,2014-01-01,Kerry County Council,40
2014Q1,2014,1,2014-01-01,Longford County Council,17
2014Q1,2014,1,2014-01-01,Louth County Council,27
2014Q1,2014,1,2014-01-01,Limerick City & County Council,27
2014Q1,2014,1,2014-01-01,Leitrim County Council,7
2014Q1,2014,1,2014-01-01,Laois County Council,24
2014Q1,2014,1,2014-01-01,Meath County Council,39
2014Q1,2014,1,2014-01-01,Monaghan County Council,11
2014Q1,2014,1,2014-01-01,Mayo County Council,35
2014Q1,2014,1,2014-01-01,Offaly County Council,14
2014Q1,2014,1,2014-01-01,Roscommon County Council,17
2014Q1,2014,1,2014-01-01,South Dublin County Council,49
2014Q1,2014,1,2014-01-01,Sligo County Council,9
2014Q1,2014,1,2014-01-01,Tipperary County Council,28
2014Q1,2014,1,2014-01-01,Waterford City & County Council,20
2014Q1,2014,1,2014-01-01,Westmeath County Council,23
2014Q1,2014,1,2014-01-01,Wicklow County Council,29
2014Q1,2014,1,2014-01-01,Wexford County Council,37
2014Q2,2014,2,2014-04-01,Cork City Council,27
2014Q2,2014,2,2014-04-01,Clare County Council,34
2014Q2,2014,2,2014-04-01,Cavan County Council,22
2014Q2,2014,2,2014-04-01,Cork County Council,113
2014Q2,2014,2,2014-04-01,Carlow County Council,18
2014Q2,2014,2,2014-04-01,Dublin City Council,243
2014Q2,2014,2,2014-04-01,Dún Laoghaire Rathdown County Council,64
2014Q2,2014,2,2014-04-01,Donegal County Council,62
2014Q2,2014,2,2014-04-01,Fingal County Council,74
2014Q2,2014,2,2014-04-01,Galway County Council,59
2014Q2,2014,2,2014-04-01,Galway City Council,18
2014Q2,2014,2,2014-04-01,Kildare County Council,65
2014Q2,2014,2,2014-04-01,Kilkenny County Council,22
2014Q2,2014,2,2014-04-01,Kerry County Council,42
2014Q2,2014,2,2014-04-01,Longford County Council,8
2014Q2,2014,2,2014-04-01,Louth County Council,29
2014Q2,2014,2,2014-04-01,Limerick City & County Council,39
2014Q2,2014,2,2014-04-01,Leitrim County Council,7
2014Q2,2014,2,2014-04-01,Laois County Council,15
2014Q2,2014,2,2014-04-01,Meath County Council,53
2014Q2,2014,2,2014-04-01,Monaghan County Council,17
2014Q2,2014,2,2014-04-01,Mayo County Council,50
2014Q2,2014,2,2014-04-01,Offaly County Council,11
2014Q2,2014,2,2014-04-01,Roscommon County Council,10
2014Q2,2014,2,2014-04-01,South Dublin County Council,60
2014Q2,2014,2,2014-04-01,Sligo County Council,21
2014Q2,2014,2,2014-04-01,Tipperary County Council,33
2014Q2,2014,2,2014-04-01,Waterford City & County Council,15
2014Q2,2014,2,2014-04-01,Westmeath County Council,12
2014Q2,2014,2,2014-04-01,Wicklow County Council,36
2014Q2,2014,2,2014-04-01,Wexford County Council,39
2014Q3,2014,3,2014-07-01,Cork City Council,33
2014Q3,2014,3,2014-07-01,Clare County Council,45
2014Q3,2014,3,2014-07-01,Cavan County Council,23
2014Q3,2014,3,2014-07-01,Cork County Council,111
2014Q3,2014,3,2014-07-01,Carlow County Council,21
2014Q3,2014,3,2014-07-01,Dublin City Council,145
2014Q3,2014,3,2014-07-01,Dún Laoghaire Rathdown County Council,75
2014Q3,2014,3,2014-07-01,Donegal County Council,63
2014Q3,2014,3,2014-07-01,Fingal County Council,152
2014Q3,2014,3,2014-07-01,Galway County Council,72
2014Q3,2014,3,2014-07-01,Galway City Council,12
2014Q3,2014,3,2014-07-01,Kildare County Council,75
2014Q3,2014,3,2014-07-01,Kilkenny County Council,25
2014Q3,2014,3,2014-07-01,Kerry County Council,44
2014Q3,2014,3,2014-07-01,Longford County Council,15
2014Q3,2014,3,2014-07-01,Louth County Council,46
2014Q3,2014,3,2014-07-01,Limerick City & County Council,38
2014Q3,2014,3,2014-07-01,Leitrim County Council,8
2014Q3,2014,3,2014-07-01,Laois County Council,15
2014Q3,2014,3,2014-07-01,Meath County Council,61
2014Q3,2014,3,2014-07-01,Monaghan County Council,21
2014Q3,2014,3,2014-07-01,Mayo County Council,45
2014Q3,2014,3,2014-07-01,Offaly County Council,22
2014Q3,2014,3,2014-07-01,Roscommon County Council,17
2014Q3,2014,3,2014-07-01,South Dublin County Council,60
2014Q3,2014,3,2014-07-01,Sligo County Council,12
2014Q3,2014,3,2014-07-01,Tipperary County Council,34
2014Q3,2014,3,2014-07-01,Waterford City & County Council,12
2014Q3,2014,3,2014-07-01,Westmeath County Council,15
2014Q3,2014,3,2014-07-01,Wicklow County Council,36
2014Q3,2014,3,2014-07-01,Wexford County Council,51
2014Q4,2014,4,2014-10-01,Cork City Council,20
2014Q4,2014,4,2014-10-01,Clare County Council,44
2014Q4,2014,4,2014-10-01,Cavan County Council,32
2014Q4,2014,4,2014-10-01,Cork County Council,157
2014Q4,2014,4,2014-10-01,Carlow County Council,12
2014Q4,2014,4,2014-10-01,Dublin City Council,102
2014Q4,2014,4,2014-10-01,Dún Laoghaire Rathdown County Council,184
2014Q4,2014,4,2014-10-01,Donegal County Council,76
2014Q4,2014,4,2014-10-01,Fingal County Council,178
2014Q4,2014,4,2014-10-01,Galway County Council,67
2014Q4,2014,4,2014-10-01,Galway City Council,11
2014Q4,2014,4,2014-10-01,Kildare County Council,102
2014Q4,2014,4,2014-10-01,Kilkenny County Council,36
2014Q4,2014,4,2014-10-01,Kerry County Council,52
2014Q4,2014,4,2014-10-01,Longford County Council,14
2014Q4,2014,4,2014-10-01,Louth County Council,44
2014Q4,2014,4,2014-10-01,Limerick City & County Council,28
2014Q4,2014,4,2014-10-01,Leitrim County Council,14
2014Q4,2014,4,2014-10-01,Laois County Council,25
2014Q4,2014,4,2014-10-01,Meath County Council,71
2014Q4,2014,4,2014-10-01,Monaghan County Council,23
2014Q4,2014,4,2014-10-01,Mayo County Council,51
2014Q4,2014,4,2014-10-01,Offaly County Council,20
2014Q4,2014,4,2014-10-01,Roscommon County Council,23
2014Q4,2014,4,2014-10-01,South Dublin County Council,70
